observation_month,index_dec2024_100
2024-02-01,98.1
2024-03-01,98.9
2024-04-01,99.1
2024-05-01,99.3
2024-06-01,99.4
2024-07-01,99.8
2024-08-01,99.9
2024-09-01,100.0
2024-10-01,99.9
2024-11-01,99.9
2024-12-01,100.0
2025-01-01,100.3
2025-02-01,101.2
2025-03-01,101.6
2025-04-01,101.9
2025-05-01,102.1
2025-06-01,102.4
2025-07-01,103.3
2025-08-01,103.2
2025-09-01,103.4
2025-10-01,103.5
2025-11-01,103.4
2025-12-01,103.6
