crop,item_faostat,year,month_num,month_name,price_lcu_per_tonne,flag
cabbage,Cabbages,2021,8,August,1937.6,A
cabbage,Cabbages,2022,8,August,2809,A
cabbage,Cabbages,2023,8,August,2115,A
cabbage,Cabbages,2024,8,August,3954.5,A
cabbage,Cabbages,2010,9,September,1316,A
cabbage,Cabbages,2011,9,September,1468,A
cabbage,Cabbages,2012,9,September,1396,A
cabbage,Cabbages,2013,9,September,1706,A
cabbage,Cabbages,2014,9,September,1900,A
cabbage,Cabbages,2015,9,September,1250,A
cabbage,Cabbages,2016,9,September,1368,A
cabbage,Cabbages,2017,9,September,2056,A
cabbage,Cabbages,2018,9,September,2038,A
cabbage,Cabbages,2019,9,September,1749,A
cabbage,Cabbages,2020,9,September,2736,A
cabbage,Cabbages,2021,9,September,1633.7,A
cabbage,Cabbages,2022,9,September,2655.9,A
cabbage,Cabbages,2023,9,September,1978,A
cabbage,Cabbages,2024,9,September,3026.9,A
cabbage,Cabbages,2010,10,October,1591,A
cabbage,Cabbages,2011,10,October,1496,A
cabbage,Cabbages,2012,10,October,1612,A
cabbage,Cabbages,2013,10,October,1762,A
cabbage,Cabbages,2014,10,October,2423,A
cabbage,Cabbages,2015,10,October,1850,A
cabbage,Cabbages,2016,10,October,1607,A
cabbage,Cabbages,2017,10,October,2066,A
cabbage,Cabbages,2018,10,October,2380,A
cabbage,Cabbages,2019,10,October,2055,A
cabbage,Cabbages,2020,10,October,2394.3,A
cabbage,Cabbages,2021,10,October,1898.5,A
cabbage,Cabbages,2022,10,October,2392.5,A
cabbage,Cabbages,2023,10,October,2041,A
cabbage,Cabbages,2024,10,October,3071.4,A
cabbage,Cabbages,2010,11,November,1341,A
cabbage,Cabbages,2011,11,November,1394,A
cabbage,Cabbages,2012,11,November,1844,A
cabbage,Cabbages,2013,11,November,1965,A
cabbage,Cabbages,2014,11,November,2404,A
cabbage,Cabbages,2015,11,November,2625,A
cabbage,Cabbages,2016,11,November,1744,A
cabbage,Cabbages,2017,11,November,2107,A
cabbage,Cabbages,2018,11,November,2780,A
cabbage,Cabbages,2019,11,November,2604,A
cabbage,Cabbages,2020,11,November,2253.5,A
cabbage,Cabbages,2021,11,November,2546.7,A
cabbage,Cabbages,2022,11,November,2270.9,A
cabbage,Cabbages,2023,11,November,2373,A
cabbage,Cabbages,2024,11,November,2875.2,A
cabbage,Cabbages,2010,12,December,1205,A
cabbage,Cabbages,2011,12,December,1259,A
cabbage,Cabbages,2012,12,December,1779,A
cabbage,Cabbages,2013,12,December,1911,A
cabbage,Cabbages,2014,12,December,1997,A
cabbage,Cabbages,2015,12,December,3376,A
cabbage,Cabbages,2016,12,December,1854,A
cabbage,Cabbages,2017,12,December,1958,A
cabbage,Cabbages,2018,12,December,3070,A
cabbage,Cabbages,2019,12,December,2772,A
cabbage,Cabbages,2020,12,December,1703,A
cabbage,Cabbages,2021,12,December,1988.1,A
cabbage,Cabbages,2022,12,December,2547.1,A
cabbage,Cabbages,2023,12,December,2311,A
cabbage,Cabbages,2024,12,December,2768,A
carrots,Carrots and turnips,2010,1,January,2592,A
carrots,Carrots and turnips,2011,1,January,2251,A
carrots,Carrots and turnips,2012,1,January,2229,A
carrots,Carrots and turnips,2013,1,January,3194,A
carrots,Carrots and turnips,2014,1,January,5091,A
carrots,Carrots and turnips,2015,1,January,2513,A
carrots,Carrots and turnips,2016,1,January,3746,A
carrots,Carrots and turnips,2017,1,January,3254,A
carrots,Carrots and turnips,2018,1,January,2645,A
carrots,Carrots and turnips,2019,1,January,4070,A
carrots,Carrots and turnips,2020,1,January,3514,A
carrots,Carrots and turnips,2021,1,January,3939.3,A
